disasterNumber,year,month,quarter,incident_duration_days,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,num_counties,tier_very_high,tier_high,tier_medium,tier_low,total_cost,log_total_cost,duration_x_counties
1,1953,5,2,0.0,0,0,0,0,1,False,False,False,True,0.0,0.0,0.0
2,1953,5,2,0.0,0,0,0,0,1,False,False,False,True,0.0,0.0,0.0
3,1953,5,2,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
4,1953,6,2,0.0,0,0,0,0,1,False,False,False,True,0.0,0.0,0.0
5,1953,6,2,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
6,1953,6,2,0.0,0,0,0,0,1,False,False,False,True,0.0,0.0,0.0
7,1953,6,2,0.0,0,0,0,0,1,False,False,False,True,0.0,0.0,0.0
8,1953,6,2,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
9,1953,6,2,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
11,1953,7,3,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
12,1953,10,4,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
13,1953,10,4,0.0,0,0,0,0,1,False,False,False,True,0.0,0.0,0.0
14,1953,12,4,0.0,0,0,0,0,1,False,False,False,True,0.0,0.0,0.0
15,1954,2,1,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
16,1954,3,1,0.0,0,0,0,0,1,False,False,False,True,0.0,0.0,0.0
17,1954,6,2,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
18,1954,7,3,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
19,1954,7,3,0.0,0,0,0,0,1,False,True,False,False,0.0,0.0,0.0
20,1954,7,3,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
21,1954,8,3,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
