month,num_counties,incident_duration_days,quarter,year,duration_x_counties,log_total_cost
5,1,0.0,2,1953,0.0,0.0
5,1,0.0,2,1953,0.0,0.0
5,1,0.0,2,1953,0.0,0.0
6,1,0.0,2,1953,0.0,0.0
6,1,0.0,2,1953,0.0,0.0
6,1,0.0,2,1953,0.0,0.0
6,1,0.0,2,1953,0.0,0.0
6,1,0.0,2,1953,0.0,0.0
6,1,0.0,2,1953,0.0,0.0
7,1,0.0,3,1953,0.0,0.0
10,1,0.0,4,1953,0.0,0.0
10,1,0.0,4,1953,0.0,0.0
12,1,0.0,4,1953,0.0,0.0
2,1,0.0,1,1954,0.0,0.0
3,1,0.0,1,1954,0.0,0.0
6,1,0.0,2,1954,0.0,0.0
7,1,0.0,3,1954,0.0,0.0
7,1,0.0,3,1954,0.0,0.0
7,1,0.0,3,1954,0.0,0.0
8,1,0.0,3,1954,0.0,0.0
9,1,0.0,3,1954,0.0,0.0
9,1,0.0,3,1954,0.0,0.0
9,1,0.0,3,1954,0.0,0.0
9,1,0.0,3,1954,0.0,0.0
10,1,0.0,4,1954,0.0,0.0
10,1,0.0,4,1954,0.0,0.0
10,1,0.0,4,1954,0.0,0.0
10,1,0.0,4,1954,0.0,0.0
10,1,0.0,4,1954,0.0,0.0
11,1,0.0,4,1954,0.0,0.0
4,1,0.0,2,1955,0.0,0.0
5,1,0.0,2,1955,0.0,0.0
5,1,0.0,2,1955,0.0,0.0
6,1,0.0,2,1955,0.0,0.0
6,1,0.0,2,1955,0.0,0.0
8,1,0.0,3,1955,0.0,0.0
8,1,0.0,3,1955,0.0,0.0
8,1,0.0,3,1955,0.0,0.0
8,1,0.0,3,1955,0.0,0.0
8,1,0.0,3,1955,0.0,0.0
8,1,0.0,3,1955,0.0,0.0
8,1,0.0,3,1955,0.0,0.0
8,1,0.0,3,1955,0.0,0.0
8,1,0.0,3,1955,0.0,0.0
12,1,0.0,4,1955,0.0,0.0
12,1,0.0,4,1955,0.0,0.0
12,1,0.0,4,1955,0.0,0.0
12,1,0.0,4,1955,0.0,0.0
2,1,0.0,1,1956,0.0,0.0
3,1,0.0,1,1956,0.0,0.0
3,1,0.0,1,1956,0.0,0.0
4,1,0.0,2,1956,0.0,0.0
4,1,0.0,2,1956,0.0,0.0
4,1,0.0,2,1956,0.0,0.0
4,1,0.0,2,1956,0.0,0.0
5,1,0.0,2,1956,0.0,0.0
5,1,0.0,2,1956,0.0,0.0
6,1,0.0,2,1956,0.0,0.0
7,1,0.0,3,1956,0.0,0.0
8,1,0.0,3,1956,0.0,0.0
8,1,0.0,3,1956,0.0,0.0
8,1,0.0,3,1956,0.0,0.0
10,1,0.0,4,1956,0.0,0.0
12,1,0.0,4,1956,0.0,0.0
1,1,0.0,1,1957,0.0,0.0
1,1,0.0,1,1957,0.0,0.0
2,1,0.0,1,1957,0.0,0.0
3,1,0.0,1,1957,0.0,0.0
3,1,0.0,1,1957,0.0,0.0
3,1,0.0,1,1957,0.0,0.0
4,1,0.0,2,1957,0.0,0.0
5,1,0.0,2,1957,0.0,0.0
5,1,0.0,2,1957,0.0,0.0
5,1,0.0,2,1957,0.0,0.0
5,1,0.0,2,1957,0.0,0.0
5,1,0.0,2,1957,0.0,0.0
6,1,0.0,2,1957,0.0,0.0
6,1,0.0,2,1957,0.0,0.0
6,1,0.0,2,1957,0.0,0.0
9,1,0.0,3,1957,0.0,0.0
4,1,0.0,2,1958,0.0,0.0
5,1,0.0,2,1958,0.0,0.0
5,1,0.0,2,1958,0.0,0.0
6,1,0.0,2,1958,0.0,0.0
