disasterNumber,totalAmountIhpApproved,totalObligatedAmountPa,totalObligatedAmountHmgp
3601,,,
3602,,,
1802,,18812748.86,2710679.0
1292,,298105794.06,67665966.0
1255,,4507774.54,844215.0
3163,,5380816.01,
3187,,1597088.45,
4015,,5553128.41,1762074.09
1752,,3020576.08,1247.0
2248,,18718.34,
2177,,964468.0,
5463,,247922.91,530971.87
1349,,2838615.94,538400.0
1384,,6425209.53,1051510.0
1615,,8128420.53,0.0
4645,,35372030.64,807500.19
4045,,5135398.21,720204.0
5492,,,43908.05
2108,,8815.1,
4212,,8736490.43,269876.97
1267,,,2167204.0
4056,,30413928.56,5794419.14
5384,,,885821.04
1270,,,319783.0
5614,,,0.0
2956,,586405.18,0.0
1836,,6100444.28,666076.0
4185,,3837595.3,213400.0
5284,,264039.14,348002.3
1781,,1655156.5,192093.0
1274,,1525086.7,778869.0
5456,,,4792739.84
3340,,495306.49,
5380,,13195694.92,3908293.99
2363,,5060820.9,
2115,,6199578.0,
1290,,,200782.0
3626,,,
4415,,6453697.9,1109704.19
1291,,,381636.0
1945,,2138551.99,14946.0
5470,,,0.0
4274,,4693118.02,680649.32
1986,,5934923.13,487940.0
1743,,2629570.0,339127.0
1298,,,195648.0
2951,,419338.96,0.0
4156,,2670513.58,370314.0
2673,,440667.37,0.0
4067,,4046793.01,475368.08
1304,,,10446.0
2681,,1153198.47,0.0
2162,,19501.3,
3249,,1236260.12,
2484,,428141.66,0.0
5460,,208241.86,0.0
5494,,,224898.88
2425,,697351.18,
5246,,16270482.58,0.0
2979,,3726826.58,0.0
5249,,2349031.77,0.0
4437,,971158.24,139036.79
5335,,1240045.95,0.0
2305,,374315.41,
5499,,,2773537.72
1321,,,316618.0
1322,,,305250.0
2716,,387966.83,0.0
2255,,193692.1,
4316,,1676798.53,176414.25
5314,,460929.86,0.0
2997,,51448.94,0.0
5198,,7541832.83,0.0
5017,,684418.07,0.0
4369,,3908163.56,12202.57
2657,,988301.75,0.0
2299,,4262388.45,
2541,,2602493.7,0.0
5421,,195815.29,777501.0
2880,,124694.11,0.0
2573,,187071.69,0.0
5391,,6902643.83,0.0
2973,,785047.27,0.0
1339,,,896815.0
1340,,,311009.0
1341,,,13056.0
1342,,,1000930.0
1483,,868596.02,78581.0
3518,,39353.18,
5190,,76945.83,0.0
5230,,3811.3,0.0
2272,,56133.0,
2221,,14446.0,
5467,,,0.0
1346,,,25581719.0
5468,,,0.0
1360,,18209539.53,2730274.0
1509,,16188809.94,980174.0
1297,,3374929.57,831368.0
1682,,30374675.17,4507985.0
1381,,14683135.02,4038077.0
1391,,4732560097.4,264635280.0
5382,,,2067208.75
2686,,1333559.35,0.0
1359,,,273677.0
1875,,24581512.14,3397069.0
1919,,4712458.08,434136.0
4130,,9033804.83,1827581.0
1364,,,1615134.0
1922,,12373472.43,3963820.89
2181,,738080.77,
2247,,4595.5,
4236,,7743787.17,723711.22
4138,,40512583.94,7536022.06
4387,,2577582.63,36485.29
4140,,6182973.09,54218.73
1822,,135879596.08,27004063.0
4275,,3045115.45,71192.17
4252,,18305095.51,1707464.47
3269,,6247181.91,
1629,,7817752.5,640210.0
1958,,13744126.49,2168421.0
5610,,,0.0
2140,,10342.5,
5388,,2746912.41,1462807.64
2130,,154.0,
3133,,1991289.57,
2157,,58709.0,
2232,,13292.0,
3132,,5429040.87,
2114,,1332890.0,
2179,,46133.5,
5278,,,1857307.56
1788,,2660766.77,0.0
3292,,611711.02,
1351,,682634.87,98588.0
1848,,12436207.3,2065029.0
1638,,4911052.76,238076.0
5451,,23815278.46,0.0
4115,,8231034.73,1175629.0
1856,,2203358.38,185505.0
2240,,10223.0,
2124,,254.1,
5286,,4320193.28,180208.1
2242,,361.0,
5283,,186238.57,1868044.54
5266,,36010.87,0.0
2676,,236644.0,0.0
1415,,,573827.0
5038,,6824731.93,0.0
2848,,675577.69,0.0
5578,,,0.0
4172,,1925935.2,192278.26
1721,,1315541.44,0.0
1421,,,55096.0
4446,,1088251.32,0.0
5541,,,0.0
2843,,55983.46,0.0
2867,,703954.92,0.0
3616,,,
3617,,,
1929,,666648.61,112780.0
5408,,2259027.05,0.0
2929,,431159.39,0.0
3131,,36153124.08,
2905,,5806.02,0.0
2715,,1374650.98,0.0
1434,,,1396381.0
2724,,1978366.88,0.0
2812,,213487.93,0.0
2379,,1008947.13,
2852,,1238001.83,0.0
2161,,1610.0,
2075,,917118.14,
5490,,,35851.87
3622,,,
5545,,,0.0
2524,,770661.56,0.0
2480,,151657.52,0.0
1248,,5270912.91,996958.0
5574,,,0.0
2223,,13535.0,
5418,,,1024091.26
3611,,,
3613,,,
5546,,,0.0
2536,,232624.73,0.0
2982,,24924.14,0.0
5236,,2133667.29,0.0
5572,,,0.0
2152,,10467.1,
1369,,19743137.17,3344251.0
1805,,38841921.56,4713715.0
1907,,19679317.4,58901.0
3135,,9848417.16,
1370,,36227572.27,5117141.0
4261,,69267697.55,11250426.83
4141,,5934364.43,936757.0
4005,,6940346.02,812698.37
1819,,220817573.8,29958447.0
4048,,26411715.75,3508702.24
4033,,7037295.1,617221.0
1576,,6686129.28,527138.0
3195,,2696280.98,
4181,,5532167.98,861379.0
3225,,2078364.65,
1326,,2191132.01,333150.0
1803,,6149283.51,725370.39
5002,,128885.39,0.0
1329,,5652343.85,1557307.0
2125,,8712.9,
4160,,5501202.69,795042.57
4388,,1859316.92,53783.5
1362,,4786803.73,106606.0
2725,,5539.53,0.0
1913,,2489369.98,402888.0
3490,,7152.97,
2129,,10304.7,
5573,,,0.0
3610,,,
4232,,1326573.48,141656.7
1666,,3058863.94,339901.0
2494,,671846.61,0.0
2145,,341529.3,
2216,,48676.6,
2678,,8312749.56,0.0
4545,,1809645.12,0.0
2076,,715276.08,
3328,,1313887.82,
4687,,819070.62,8600.0
2450,,694577.0,
