disasterNumber,declarationDate,incidentType,pwNumber,applicationTitle,applicantId,damageCategoryCode,damageCategoryDescrip,projectStatus,projectProcessStep,projectSize,county,countyCode,stateAbbreviation,stateNumberCode,projectAmount,federalShareObligated,totalObligated,lastObligationDate,firstObligationDate,mitigationAmount,gmProjectId,gmApplicantId,lastRefresh,hash
1239,1998-08-26T00:00:00.000Z,Severe Storm(s),1,(PW# 1) IMMEDIATE NEEDS FUNDING,465-19792-00,B,Emergency Protective Measures,Active,Project Closed Out,Large,Val Verde County,465,TX,48,100000.0,75000.0,80340.0,1998-09-15T14:25:07.000Z,1998-09-15T14:25:07.000Z,0,1021769,268458,2025-11-27T15:05:59.253Z,addcfded82ae348f46ff034a4564f983a9dea897
1239,1998-08-26T00:00:00.000Z,Severe Storm(s),5,(PW# 5) Not Provided,465-19792-00,G,"Parks, Recreational Facilities, and Other Items",Active,Project Closed Out,Large,Val Verde County,465,TX,48,19685.5,14764.13,15461.0,1998-09-23T08:58:52.000Z,1998-09-23T08:58:52.000Z,0,1062596,268458,2025-11-27T15:05:59.253Z,05c6c522b930a9c38b52a0c4b0de853e98b4cb75
1239,1998-08-26T00:00:00.000Z,Severe Storm(s),7,(PW# 7) Not Provided,465-19792-00,G,"Parks, Recreational Facilities, and Other Items",Active,Project Closed Out,Large,Val Verde County,465,TX,48,26111.0,19583.25,20507.58,1998-09-23T08:58:52.000Z,1998-09-23T08:58:52.000Z,0,1062598,268458,2025-11-27T15:05:59.253Z,0addbfed02721821348612482bfe36d8fe587d0f
1603,2005-08-29T00:00:00.000Z,Hurricane,18097,(PW# 18097) PROJECT MANAGEMENT FEES  ON MULTIPLE FACILITIES THROUGHOUT THE PARISH,075-99075-00,E,Buildings and Equipment,Active,Obligated,Large,Plaquemines Parish,75,LA,22,18602329.78,18602329.78,18788818.15,2013-05-17T19:46:42.000Z,2008-09-24T21:26:46.000Z,0,901765,248442,2025-11-13T15:06:36.991Z,b028d2257fa894d608ed4556560052d68a3920c9
1239,1998-08-26T00:00:00.000Z,Severe Storm(s),8,(PW# 8) Not Provided,465-19792-00,G,"Parks, Recreational Facilities, and Other Items",Active,Project Closed Out,Large,Val Verde County,465,TX,48,26250.83,19688.12,20617.4,1998-09-28T15:02:18.000Z,1998-09-28T15:02:18.000Z,0,1062599,268458,2025-11-27T15:05:59.253Z,d01abd86d6129cc818c5cee0f9373e3097c245e6
1239,1998-08-26T00:00:00.000Z,Severe Storm(s),10,(PW# 10) Not Provided,465-19792-00,G,"Parks, Recreational Facilities, and Other Items",Active,Project Closed Out,Large,Val Verde County,465,TX,48,34502.5,25876.88,27098.27,1998-09-28T15:02:18.000Z,1998-09-28T15:02:18.000Z,0,1062578,268458,2025-11-27T15:05:59.253Z,ae1b100b0fe6a9fd0a75c120e0ca3a5e4be6d356
1239,1998-08-26T00:00:00.000Z,Severe Storm(s),16,(PW# 16) Not Provided,465-19792-00,G,"Parks, Recreational Facilities, and Other Items",Active,Project Closed Out,Large,Val Verde County,465,TX,48,23744.2,17808.15,18465.86,1998-11-05T12:52:50.000Z,1998-11-05T12:52:50.000Z,0,1062589,268458,2025-11-27T15:05:59.253Z,b4db60dc3677ce42a4a386c6e6a461d97f275671
1239,1998-08-26T00:00:00.000Z,Severe Storm(s),25,(PW# 25) L,465-062A0-00,E,Buildings and Equipment,Active,Project Closed Out,Large,,0,TX,48,68496.34,51372.25,53826.79,2000-04-14T16:21:42.000Z,1998-10-28T10:41:48.000Z,0,1021655,268436,2025-11-27T15:05:59.253Z,a891882e83ce928993caadd7238b0d0513244f29
1239,1998-08-26T00:00:00.000Z,Severe Storm(s),27,(PW# 27) Not Provided,465-062A0-00,E,Buildings and Equipment,Active,Project Closed Out,Large,,0,TX,48,7937.0,5952.75,6172.6,1998-10-28T10:41:48.000Z,1998-10-28T10:41:48.000Z,0,1021657,268436,2025-11-27T15:05:59.253Z,39fba12699763afd597c9bafeddfdc2778fda1e3
1239,1998-08-26T00:00:00.000Z,Severe Storm(s),40,(PW# 40) Not Provided,463-99463-00,C,Roads and Bridges,Active,Project Closed Out,Large,,0,TX,48,5649.8,4237.35,4393.85,1998-10-23T07:29:35.000Z,1998-10-23T07:29:35.000Z,0,1021582,268431,2025-11-27T15:05:59.253Z,4499fed75da410a2c6303818d94ff7cc6f2199dc
